epoch,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,train_qwk,valid_loss,valid_accuracy,valid_macro_f1,valid_weighted_f1,valid_qwk,lr
1,1.3121701417929483,0.6348122866894198,0.48949204064738094,0.6575003906871971,0.7146133843166944,0.9868700611786764,0.7377049180327869,0.5903020193832067,0.7355874331137477,0.8240432955138595,0.0002999259840548597
2,0.7795043987218837,0.7815699658703071,0.6540175996180965,0.7903673364119824,0.8500922398747709,0.8396249573087432,0.8032786885245902,0.6297111463223994,0.8048486077793024,0.8641114095497537,0.0002997040092642407
3,0.6005146026204471,0.8327645051194539,0.7326023068744327,0.8384976314023352,0.8888291465505311,0.9182185328723304,0.7650273224043715,0.6246387558447419,0.7709432401128575,0.8698440956632152,0.000299334294690462
4,0.4708848854380663,0.8617747440273038,0.7778881812464036,0.8654356858810108,0.9133103845029886,1.0652765768473265,0.819672131147541,0.643023459916043,0.8110493631981202,0.8697042139957281,0.0002988172051971717
5,0.40854860498433226,0.8897610921501706,0.8227504628274064,0.8933789045226416,0.9183974635445936,0.973269805556438,0.7786885245901639,0.6428852954989984,0.7824205888380803,0.8537098668754894,0.00029815325108927063
6,0.4128160812240412,0.8747440273037542,0.8048051422107241,0.8779867277804536,0.9188183979045588,1.0462288618739186,0.8442622950819673,0.7053565964977081,0.8392482760362726,0.8974649812094294,0.00029734308760930326
7,0.3282944851157608,0.9129692832764505,0.8575922717094698,0.9147494985112614,0.9345865640544063,0.910285692723071,0.860655737704918,0.7489301956388077,0.8582784521444319,0.888132040869793,0.00029638751429081204
8,0.23299037706259473,0.9433447098976109,0.904913644460794,0.9443561433306873,0.9668086137088355,1.4614919349144064,0.8224043715846995,0.6347349121647707,0.812715405692901,0.8917891535732387,0.0002952874741692946
9,0.21034582602336951,0.9474402730375426,0.9108819104812387,0.9482219390926478,0.9676307652445831,1.1517518932213548,0.8360655737704918,0.705506238125326,0.8358174509397697,0.8842074522453639,0.00029404405285154137
10,0.184825637743295,0.9580204778156997,0.9265776140900007,0.9585875880751356,0.9713621908509062,1.1474235163686053,0.8114754098360656,0.6447502668330302,0.8070890335957839,0.881865365249051,0.0002926584774442729
11,0.2321469410618214,0.9324232081911262,0.8894766647269263,0.9335751157290658,0.9622377063925179,0.954024476431758,0.8497267759562842,0.7216450737383533,0.8503878642518873,0.9010098842589488,0.00029113211534313374
12,0.20719063476796037,0.9402730375426621,0.9046353053852524,0.9414340317163723,0.9643010189971502,1.340319762057294,0.855191256830601,0.731372854995866,0.8534517601241789,0.9071200078226493,0.0002894664728832376
13,0.150593423557312,0.962457337883959,0.9370091231082984,0.962911427894767,0.9743601015591065,1.1604100679113565,0.8524590163934426,0.7159851327627592,0.8482179901556185,0.9139963041544042,0.0002876631938525971
14,0.15672943529008598,0.952901023890785,0.9293956315175034,0.953380746720153,0.9690282935107855,1.180317377294999,0.8469945355191257,0.7195541961829452,0.845386039678189,0.8979836023223245,0.0002857240578699029
15,0.12991167237225654,0.967235494880546,0.9412974048611789,0.967471526371419,0.9828901775168702,1.2732109363938942,0.860655737704918,0.7437532883950974,0.8568738912953985,0.9185603908646744,0.00028365097862825513
16,0.23563797470013717,0.9286689419795222,0.8874354631700637,0.9299374492999624,0.9489205448237285,1.4535201559749131,0.8524590163934426,0.7345537874290385,0.8510903135536573,0.8982731723062026,0.0002814460020065795
17,0.1782222804540304,0.9614334470989762,0.9311727222891448,0.961913674932022,0.9715306429596829,1.0810266376518813,0.8415300546448088,0.7221306869479174,0.8394806957236557,0.9048387530595229,0.0002791113040505915
18,0.13556449855598318,0.9638225255972697,0.9356360434194236,0.9642843804039509,0.9736638178608933,1.3380286331222357,0.8224043715846995,0.6711254313552557,0.8182056900619233,0.8891330994547529,0.00027664918882530225
19,0.10356241130451242,0.9754266211604096,0.9531833779968494,0.9755973597095147,0.9852295928549597,1.4233091519585723,0.825136612021858,0.679806595052814,0.8205307386102996,0.8909717824220674,0.00027406208614118424
20,0.09172911744250092,0.974061433447099,0.9546848883331738,0.9742213594000384,0.9849718793732478,1.510518180440521,0.8661202185792349,0.7545099947425528,0.8644547674030454,0.9120832361055825,0.0002713525491562421
21,0.1322615886819088,0.9713310580204778,0.9484977415871011,0.9715752695510631,0.9820248725769659,1.4864538539954222,0.8278688524590164,0.6657041295242998,0.8229137169089296,0.8875057630244352,0.00026852325185635354
22,0.11339093340344651,0.9692832764505119,0.9483935753601104,0.9694809619044351,0.9836969688382038,1.4423508688074644,0.860655737704918,0.7384271555668379,0.8598156046984378,0.9075131988628672,0.00026557698641636835
23,0.09780034184735586,0.9726962457337884,0.9545606382319394,0.9728653837281653,0.9836159710075932,1.3311244184202184,0.8579234972677595,0.7466908484420123,0.8572874423158238,0.9080544821727096,0.0002625166604445689
24,0.15299811458156315,0.9559726962457338,0.9352583066857976,0.9564498453004961,0.9730473497197931,1.6930586127309852,0.819672131147541,0.6709684328878642,0.8184854431387336,0.8959445330985528,0.0002593452941132117
25,0.12769618675354297,0.9617747440273038,0.9336379905422934,0.9622717536075501,0.9758871353340701,1.5743587945328383,0.819672131147541,0.678777705997825,0.8220972378128256,0.8996593573121608,0.0002560660171779821
26,0.13564181398288838,0.9617747440273038,0.9324357661528498,0.962258273102884,0.976327905022702,1.2907641455123984,0.8387978142076503,0.7166276821189899,0.843639022770488,0.9043022761114656,0.0002526820658893033
27,0.15083435926127087,0.9587030716723549,0.932711145569711,0.9591896577162531,0.9720479983506212,1.5554157295187965,0.8224043715846995,0.6563039757621191,0.8159934127869594,0.8934129789914259,0.00024919677979854776
