accuracy,macro_f1,weighted_f1,qwk,model,split,num_images,feature_set
0.860655737704918,0.7437532883950974,0.8568738912953985,0.9185603908646744,efficientnet_raw,aptos_valid,366,image_only
0.8360655737704918,0.6494879603656847,0.8320631105564216,0.8898621866756944,efficientnet_raw,aptos_test,366,image_only
0.2912621359223301,0.2579166666666667,0.27809335525628975,0.3909305278432794,efficientnet_raw,idrid_test,103,image_only
0.855191256830601,0.7398838097606907,0.8525648411376474,0.9151623280839526,prob_only_logistic_balanced,aptos_valid,366,prob_only
0.8387978142076503,0.6531268969641889,0.8350283590952831,0.8964768175955469,prob_only_logistic_balanced,aptos_test,366,prob_only
0.3106796116504854,0.3028462998102467,0.3060555258746154,0.44742101756723585,prob_only_logistic_balanced,idrid_test,103,prob_only
0.8524590163934426,0.7179248201546422,0.8477878158688188,0.9159409105942014,late_fusion_logistic_balanced,aptos_valid,366,fusion
0.8442622950819673,0.6672704714515717,0.8389964242173815,0.8869448555345016,late_fusion_logistic_balanced,aptos_test,366,fusion
0.3106796116504854,0.2982590885816692,0.3011374087164879,0.4413969394452313,late_fusion_logistic_balanced,idrid_test,103,fusion
0.855191256830601,0.7269547456275145,0.8505491989980116,0.9154521399470789,late_fusion_random_forest_balanced,aptos_valid,366,fusion
0.8415300546448088,0.653900104488165,0.834540090767794,0.8914879610045803,late_fusion_random_forest_balanced,aptos_test,366,fusion
0.30097087378640774,0.26703835197672265,0.2957227541154976,0.43300014486455163,late_fusion_random_forest_balanced,idrid_test,103,fusion
0.8497267759562842,0.7158417871461351,0.844339219535228,0.9132485672848111,late_fusion_extra_trees_balanced,aptos_valid,366,fusion
0.8469945355191257,0.6716240998808475,0.8411695115768125,0.8882894051023427,late_fusion_extra_trees_balanced,aptos_test,366,fusion
0.2912621359223301,0.258849890530925,0.28477582752775255,0.3782545454545454,late_fusion_extra_trees_balanced,idrid_test,103,fusion
