triage_decision,count,mean_risk_score,mean_confidence,mean_entropy,mean_quality_score,mean_lesion_burden
manual_review_required,2773,0.3091780549962778,0.9692608463261216,0.05353471244204641,0.3436499693055054,0.008937765534844898
safe_negative_prediction,655,0.10953069394272849,0.9996228539306699,0.0009480981658855539,0.485202536829063,0.0007265687898824798
urgent_referral,191,0.45368204699482023,0.9691510971304009,0.0674783444423538,0.49343000023090644,0.028310765770717405
routine_referral,77,0.3730404727681421,0.9639971860043415,0.07578359003579126,0.5076413269952279,0.007180895124162909
follow_up_recommended,65,0.2514850505253882,0.9640308930323674,0.070124210840336,0.4873088753628895,0.0029126093937800112
low_risk_follow_up,4,0.17145103119344632,0.9999998807907104,1.1008018943633276e-06,0.48208014930066617,0.005249977111816375
