label,no_sampler,no_sampler_lowlr_smooth,weighted_sampler
Mild,0.5846153846153846,0.5333333333333333,0.5245901639344263
Moderate,0.7553191489361702,0.7624309392265194,0.7282608695652174
No DR,0.984924623115578,0.9775561097256856,0.9774436090225564
Proliferative DR,0.6,0.5714285714285714,0.6666666666666666
Severe,0.3225806451612903,0.4117647058823529,0.3529411764705882
