epoch,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,train_qwk,valid_loss,valid_accuracy,valid_macro_f1,valid_weighted_f1,valid_qwk,lr
1,1.7285294663377182,0.5539249146757679,0.4221055169691647,0.5883411347657963,0.5902822500649267,1.3461151764692505,0.6967213114754098,0.5475578598407382,0.7010789903439296,0.7725272485281598,9.997532801828658e-05
2,1.083279471999549,0.735494880546075,0.6254297669438607,0.7516042170514,0.761378430789352,1.2903407874003134,0.7131147540983607,0.5733648576015735,0.7264711307689106,0.7771099394184648,9.990133642141359e-05
3,0.9119175647305954,0.7948805460750853,0.7079766446050849,0.806073930596442,0.8174806399329488,1.2938451304461787,0.7540983606557377,0.6230404625701433,0.7632467312304535,0.8219346270937997,9.977809823015401e-05
4,0.7909495377296474,0.8491467576791809,0.7814213672738083,0.855491045851518,0.8648678585827884,1.27849982149614,0.7595628415300546,0.6185962641676256,0.768347733050649,0.8346280173087952,9.960573506572391e-05
5,0.713388400028997,0.8774744027303755,0.8230733521017145,0.8822871593686928,0.8710173066409858,1.3423107178484808,0.7896174863387978,0.6385974553586579,0.7928414336246552,0.8222364517857376,9.93844170297569e-05
6,0.686998145165297,0.9030716723549488,0.8526163297905495,0.9066515399790909,0.9069224992182219,1.2414603155167376,0.7896174863387978,0.6669995165133854,0.7977097493650877,0.8188716595183108,9.911436253643445e-05
7,0.6387677759644115,0.9255972696245733,0.8825665329317454,0.9277658949391788,0.9368567813913207,1.2097105266617947,0.8032786885245902,0.6743729063754511,0.8096442808402826,0.828332540275984,9.879583809693738e-05
8,0.6183443831095516,0.9372013651877134,0.8997491230918241,0.9389672063741976,0.9464180532757018,1.2261378563166967,0.819672131147541,0.6874931005591826,0.8218780272565961,0.8672962938839315,9.842915805643157e-05
9,0.5867857280444774,0.9419795221843004,0.9065509149591495,0.943445460515861,0.9448918018615786,1.2556271557925178,0.7923497267759563,0.668370805439771,0.799653244396037,0.8111165135501701,9.801468428384717e-05
10,0.5666109755584404,0.9580204778156997,0.9296574642942144,0.9587650718516573,0.959050232865319,1.2159193905650592,0.8060109289617486,0.6745792780240941,0.8092487233065117,0.8602956485529878,9.75528258147577e-05
11,0.5636139635339938,0.9604095563139932,0.9329470214269255,0.9609885063237394,0.9666921507757131,1.1777188087421688,0.7814207650273224,0.6557965193384467,0.7860325022529144,0.834675843638518,9.70440384477113e-05
12,0.542685696452144,0.9610921501706484,0.93830789136099,0.9616179913371994,0.9669549866015441,1.3182991436921834,0.7841530054644809,0.6561028779147166,0.7932121391433217,0.8282278014632349,9.64888242944126e-05
13,0.5466378487010864,0.9645051194539249,0.9388823953949273,0.9651425070356664,0.9727209357533598,1.207456297887479,0.7923497267759563,0.6486364953977372,0.7961745484984835,0.8647415835687949,9.588773128419907e-05
14,0.5294886385621471,0.9757679180887372,0.9572202956812683,0.9759749353071905,0.9843389628465644,1.1495632776797144,0.8032786885245902,0.6712524978106029,0.8081041198416308,0.8724027332310695,9.5241352623301e-05
15,0.5233447573697607,0.9750853242320819,0.9554187196863632,0.9753250758806017,0.9790495745425217,1.1808244941013106,0.825136612021858,0.7058674999933454,0.8278611680941506,0.8701713312759392,9.455032620941843e-05
16,0.5205554936933029,0.9726962457337884,0.9529134917052724,0.9730326840785897,0.9776452286863618,1.239892329674601,0.8142076502732241,0.6664260241449621,0.8162257849216126,0.8459675341406854,9.381533400219321e-05
17,0.5039546318835366,0.9774744027303754,0.959820684655701,0.9776974613372337,0.9838488828718781,1.2281299738284668,0.819672131147541,0.6769954297508478,0.8202104425319164,0.8669220741213718,9.303710135019722e-05
18,0.5156536521358295,0.9754266211604096,0.9550852514962545,0.9757592871425164,0.9849399778448056,1.219929817921477,0.8169398907103825,0.6905850316666255,0.8186504670935566,0.8548507716364131,9.22163962751008e-05
19,0.4924385801517109,0.9822525597269625,0.9662836020521149,0.9823879085452862,0.9896694014903494,1.2126097037492554,0.7896174863387978,0.6488715644820295,0.7928175194568636,0.8460324972393123,9.135402871372814e-05
20,0.5052068524800063,0.9744027303754266,0.9503290312539718,0.974726186425256,0.9860613556825986,1.1347813243097296,0.8142076502732241,0.7009721057206912,0.8191263164395209,0.8546097433211105,9.045084971874742e-05
21,0.4989408554884354,0.9802047781569966,0.9622869023086155,0.9804045799932994,0.9850610072031273,1.1636881570998436,0.8005464480874317,0.6473852457171156,0.8017775524129963,0.8393941763770496,8.950775061878456e-05
22,0.4946120998151473,0.9843003412969283,0.9698765471018709,0.984455898396115,0.9888754137462471,1.217446231451191,0.8387978142076503,0.7049288075260615,0.8406512638609274,0.8855933338691959,8.85256621387895e-05
23,0.47409758624770126,0.9849829351535836,0.9716279729221767,0.9850872528167799,0.990099115051083,1.1279160921039477,0.819672131147541,0.6878994586603244,0.8237114817066047,0.8815594106524195,8.750555348152302e-05
24,0.49453889225123276,0.9819112627986348,0.9661634829737602,0.9820857938003918,0.9843169320293106,1.1137007683352695,0.8360655737704918,0.7107198293786489,0.836850331833984,0.8811337466784765,8.644843137107061e-05
25,0.47039198061711957,0.9836177474402731,0.9672184012639018,0.9837828858674402,0.9913687956785825,1.1482756623153478,0.8333333333333334,0.7096320574809789,0.8365812209707899,0.8895526333179145,8.53553390593274e-05
26,0.48094947069578203,0.978839590443686,0.9603285377299564,0.9790477798764773,0.9895600931334201,1.0707639436252783,0.8169398907103825,0.6909518594602163,0.8196035281060493,0.8792881333421874,8.422735529643446e-05
27,0.4662528466852859,0.9880546075085325,0.976491356310642,0.9881312522383772,0.9918799878837226,1.1688323548582733,0.8142076502732241,0.6865726013744686,0.8179665869518861,0.8667701902561578,8.306559326618262e-05
28,0.4634276998734718,0.9839590443686007,0.9674741125880801,0.9840791737320047,0.9916992532990165,1.1387376575196375,0.8278688524590164,0.7043745978418701,0.831290352141086,0.88351577418574,8.187119948743451e-05
29,0.46724067739252345,0.9860068259385666,0.9710506521485129,0.9861613026430778,0.9923124426574782,1.1112275980209392,0.825136612021858,0.6937794084091731,0.8291705367893698,0.8666874804870434,8.064535268264886e-05
30,0.4641269582937195,0.9832764505119453,0.9671674864620681,0.9834168630799474,0.9900976386485777,1.097218822260372,0.819672131147541,0.6860218960089791,0.8215183851454568,0.8688557426522627,7.93892626146237e-05
31,0.4529539472820816,0.9863481228668942,0.9722692754149918,0.9864685129692667,0.9924901875755934,1.1200317821867478,0.8224043715846995,0.7015286105947187,0.8248239972578573,0.8774440928131525,7.810416889260657e-05
32,0.45792264315862297,0.9877133105802047,0.9751426039543158,0.9877994266994617,0.9931202674214621,1.1143987276515022,0.8032786885245902,0.6596547299616617,0.8059974734362422,0.8732882602770538,7.679133974894987e-05
33,0.46360560309764876,0.9880546075085325,0.975013353089356,0.9881113215021987,0.9934113591696617,1.0728165093666868,0.8087431693989071,0.6730995262545814,0.8149394516431251,0.8810293597916148,7.545207078751861e-05
34,0.4672855165631291,0.9836177474402731,0.9671932166656723,0.9837230984204368,0.9870302960719476,1.1575177559435694,0.8387978142076503,0.7016288488752258,0.83842868909789,0.8995823299729263,7.40876837050858e-05
35,0.47149033074492885,0.9836177474402731,0.9688784885248648,0.9837496499133079,0.99100264369151,1.1375048851054874,0.8360655737704918,0.6972540230312767,0.8336304290955106,0.8885464957731115,7.269952498697738e-05
36,0.46260775706060103,0.9877133105802047,0.9761688218828649,0.9877864412665618,0.9914804518392837,1.075937960968643,0.8278688524590164,0.7014238979771203,0.8280566417274601,0.8881713957369962,7.128896457825368e-05
