dataset,split,num_images,mean_total_lesion_union_area_ratio,mean_total_lesion_sum_area_ratio,mean_microaneurysms_area_ratio,mean_microaneurysms_presence,mean_microaneurysms_largest_component_area_ratio,mean_haemorrhages_area_ratio,mean_haemorrhages_presence,mean_haemorrhages_largest_component_area_ratio,mean_hard_exudates_area_ratio,mean_hard_exudates_presence,mean_hard_exudates_largest_component_area_ratio,mean_soft_exudates_area_ratio,mean_soft_exudates_presence,mean_soft_exudates_largest_component_area_ratio
APTOS2019,test,366,0.007531067061293972,0.008114892928326716,0.0006307383052638319,1.0,0.00013335806424500513,0.003011130244354081,0.9453551912568307,0.0014366087366323,0.0032418360475633965,0.7868852459016393,0.0007979179340633538,0.0012311883311454065,0.8442622950819673,0.0006015860969251622
APTOS2019,train,2930,0.0083490469349936,0.008991077410076258,0.0006806513555220776,1.0,0.00012598916532236562,0.0030013907891491575,0.9399317406143345,0.0011035072925554609,0.004133556483141798,0.841296928327645,0.0009328119583911049,0.0011754787822632253,0.8679180887372013,0.000577040011565433
APTOS2019,valid,366,0.008839549914083845,0.009485119678935066,0.0006731168819906933,1.0,0.00014241536458333334,0.003011901521943306,0.9371584699453552,0.0012047877077196465,0.004521510640128714,0.8114754098360656,0.000938478063364498,0.001278590634872353,0.860655737704918,0.000611237489460596
IDRiD,test,103,0.00948133746397148,0.010341199856359982,0.0008873430270593143,1.0,0.00012066294846025485,0.004864368623900182,0.8932038834951457,0.0016766520379816444,0.00365970204177412,0.7378640776699029,0.0012988118292058556,0.0009297861636263653,0.5048543689320388,0.0004932440600348908
IDRiD,train,413,0.010152424218868228,0.011089546628494817,0.0009694688256658596,1.0,0.00011884675476222004,0.004717949227617093,0.8547215496368039,0.0015431420277740996,0.004418546293318705,0.8353510895883777,0.001082866012905758,0.0009835822818931598,0.5036319612590799,0.00047985751172820824
