dataset,split,label,label_name,num_images,total_lesion_union_area_ratio_mean,total_lesion_union_area_ratio_std,total_lesion_union_area_ratio_median,total_lesion_union_area_ratio_min,total_lesion_union_area_ratio_max,total_lesion_sum_area_ratio_mean,total_lesion_sum_area_ratio_std,total_lesion_sum_area_ratio_median,total_lesion_sum_area_ratio_min,total_lesion_sum_area_ratio_max,microaneurysms_area_ratio_mean,microaneurysms_area_ratio_std,microaneurysms_area_ratio_median,microaneurysms_area_ratio_min,microaneurysms_area_ratio_max,haemorrhages_area_ratio_mean,haemorrhages_area_ratio_std,haemorrhages_area_ratio_median,haemorrhages_area_ratio_min,haemorrhages_area_ratio_max,hard_exudates_area_ratio_mean,hard_exudates_area_ratio_std,hard_exudates_area_ratio_median,hard_exudates_area_ratio_min,hard_exudates_area_ratio_max,soft_exudates_area_ratio_mean,soft_exudates_area_ratio_std,soft_exudates_area_ratio_median,soft_exudates_area_ratio_min,soft_exudates_area_ratio_max,microaneurysms_prob_mean_mean,microaneurysms_prob_mean_std,microaneurysms_prob_mean_median,microaneurysms_prob_mean_min,microaneurysms_prob_mean_max,haemorrhages_prob_mean_mean,haemorrhages_prob_mean_std,haemorrhages_prob_mean_median,haemorrhages_prob_mean_min,haemorrhages_prob_mean_max,hard_exudates_prob_mean_mean,hard_exudates_prob_mean_std,hard_exudates_prob_mean_median,hard_exudates_prob_mean_min,hard_exudates_prob_mean_max,soft_exudates_prob_mean_mean,soft_exudates_prob_mean_std,soft_exudates_prob_mean_median,soft_exudates_prob_mean_min,soft_exudates_prob_mean_max,microaneurysms_component_count_mean,microaneurysms_component_count_std,microaneurysms_component_count_median,microaneurysms_component_count_min,microaneurysms_component_count_max,haemorrhages_component_count_mean,haemorrhages_component_count_std,haemorrhages_component_count_median,haemorrhages_component_count_min,haemorrhages_component_count_max,hard_exudates_component_count_mean,hard_exudates_component_count_std,hard_exudates_component_count_median,hard_exudates_component_count_min,hard_exudates_component_count_max,soft_exudates_component_count_mean,soft_exudates_component_count_std,soft_exudates_component_count_median,soft_exudates_component_count_min,soft_exudates_component_count_max,lesion_presence_count_mean,lesion_presence_count_std,lesion_presence_count_median,lesion_presence_count_min,lesion_presence_count_max
APTOS2019,valid,0,No DR,172,0.0016495682472406137,0.0036007120710696157,0.0005950927734375,1.1444091796875e-05,0.0360336303710937,0.0017998717552007279,0.0037627353614793006,0.0006771087646484,1.1444091796875e-05,0.0372962951660156,0.00019570284111553344,0.00026231528367375034,0.0001163482666015,1.1444091796875e-05,0.00177001953125,0.0007765570352243582,0.002833232421339407,0.00021171569824215,0.0,0.0353469848632812,0.0003108312917310031,0.0018033102366998713,2.288818359375e-05,0.0,0.0181999206542968,0.0005167805871297971,0.000982117419856344,8.7738037109375e-05,0.0,0.0046463012695312,0.014599511789721097,0.001841554568425288,0.0134925842285156,0.0122528076171875,0.0180816650390625,0.00410831806271571,0.0028078769301121474,0.0034999847412109,0.0026378631591796,0.03741455078125,0.006201810615007231,0.0021071356611308133,0.0057277679443359,0.0052375793457031,0.0268707275390625,0.023899167083030522,0.0029080506453556688,0.02243804931640625,0.019927978515625,0.0321044921875,7.4186046511627906,6.968542711019277,5.0,1,47,3.4709302325581395,3.655369079342762,2.0,0,21,3.302325581395349,8.801341959669427,1.0,0,83,2.761627906976744,2.358543936025787,2.0,0,12,3.3488372093023258,0.7534317877049853,3.0,1,4
APTOS2019,valid,1,Mild,40,0.004765033721923787,0.004005800836894165,0.0035591125488281,0.0002098083496093,0.0169868469238281,0.00522537231445308,0.00433919916393336,0.00390434265136715,0.0002822875976562,0.0193595886230468,0.0005041122436523094,0.00048295081812452375,0.00031471252441405003,1.9073486328125e-05,0.0025177001953125,0.0018389701843261343,0.0028957990062890037,0.0008239746093749499,0.0,0.0161514282226562,0.002215957641601537,0.002909955440141837,0.00082206726074215,0.0,0.0109329223632812,0.0006663322448730219,0.0009537159397138436,0.0002651214599609,0.0,0.0042610168457031,0.01329174041748044,0.0007761893130536686,0.01298141479492185,0.0126571655273437,0.0155105590820312,0.004538488388061485,0.0028412338294390637,0.0035028457641601,0.0026435852050781,0.0184326171875,0.008038520812988243,0.003209578110336251,0.00660705566406245,0.0051307678222656,0.017181396484375,0.02235107421875,0.0026598171301070632,0.021697998046875,0.019256591796875,0.034637451171875,14.95,13.585342780421053,9.0,2,70,7.575,7.51711721885799,5.0,0,36,16.95,18.32043835552145,10.0,0,75,2.725,3.096627611467443,2.0,0,13,3.7,0.5638694156883471,4.0,2,4
APTOS2019,valid,2,Moderate,104,0.01436677345862752,0.012475182819887697,0.0103931427001953,0.0002937316894531,0.0876846313476562,0.01548840449406547,0.013079331783594396,0.01166915893554685,0.0003700256347656,0.0887603759765625,0.0011237217829777272,0.0010743716768875857,0.0008335113525390499,3.0517578125e-05,0.0068550109863281,0.004648502056415229,0.005329436926683128,0.0028762817382811997,0.0,0.032257080078125,0.007950856135441676,0.010529554677047477,0.0041046142578125,0.0,0.0781097412109375,0.0017653245192307417,0.002719466931489392,0.0010261535644531,0.0,0.0172653198242187,0.014209747314453104,0.0012304445103553303,0.01403427124023435,0.010711669921875,0.017578125,0.007450855695284294,0.005008420842983525,0.005681991577148399,0.0021209716796875,0.0333251953125,0.01455655464759238,0.011193725671766217,0.0106964111328125,0.0048408508300781,0.0887451171875,0.025053024291992188,0.004464986744281945,0.023773193359375,0.0190887451171875,0.047576904296875,29.75,23.376924145923734,23.5,3,133,15.14423076923077,12.246987558453228,12.5,0,61,42.48076923076923,36.859476200975855,34.0,0,207,5.5,6.509142189170164,3.0,0,41,3.8461538461538463,0.3625484438800155,4.0,3,4
APTOS2019,valid,3,Severe,22,0.032633694735440304,0.028274727886106892,0.02547836303710935,0.0020637512207031,0.1246376037597656,0.034270026467063175,0.028356615703128543,0.02685356140136715,0.0023841857910156,0.1255531311035156,0.0017148798162286635,0.0012693829978636276,0.00143241882324215,0.00018310546875,0.0049934387207031,0.007891048084605782,0.007632759774306748,0.00513839721679685,0.0001602172851562,0.0287590026855468,0.021670948375355072,0.0293819029711108,0.0109767913818359,0.0001258850097656,0.1163864135742187,0.002993150190873543,0.003176820820297048,0.00213050842285155,0.0,0.0115165710449218,0.014520471746271286,0.0014858591438520533,0.0143280029296875,0.0120468139648437,0.01763916015625,0.010443427345969427,0.007164860212245429,0.00784492492675775,0.0030155181884765,0.0301971435546875,0.029035741632634927,0.030195875765342283,0.01842498779296875,0.0061416625976562,0.125244140625,0.02806646173650568,0.004906936600462725,0.0277252197265625,0.0208587646484375,0.041961669921875,47.31818181818182,35.366632597671796,39.0,6,138,22.272727272727273,16.954229190555598,17.0,3,72,65.5909090909091,47.95499784362229,58.5,5,161,8.136363636363637,8.531708110926164,5.5,0,37,3.909090909090909,0.29424494316825,4.0,3,4
APTOS2019,valid,4,Proliferative DR,28,0.0196022306169782,0.017400523553037513,0.0133247375488281,0.0025291442871093,0.0631599426269531,0.02100808279854908,0.018314825509239515,0.0144729614257812,0.0027008056640625,0.0689125061035156,0.0013550349644251892,0.001232594111518686,0.0009956359863280998,0.0001487731933593,0.00555419921875,0.00850650242396759,0.01350431727030466,0.0036849975585936997,0.0002479553222656,0.0575027465820312,0.007468632289341486,0.011392607686820884,0.0031986236572265,0.0002021789550781,0.0543556213378906,0.003677913120814701,0.005432869383519316,0.001861572265625,0.0,0.0260086059570312,0.014738900320870513,0.001319689586978683,0.0144882202148437,0.012664794921875,0.018218994140625,0.011096818106515036,0.012932364456862503,0.00653457641601555,0.0028743743896484,0.058013916015625,0.014323370797293511,0.012418778541818392,0.00986480712890625,0.0059471130371093,0.0650634765625,0.02857698713030134,0.008126917845148603,0.026763916015625,0.0204315185546875,0.06005859375,36.535714285714285,24.30436958557825,31.5,6,97,16.285714285714285,11.54975434357049,14.5,3,48,41.607142857142854,38.719637362200565,29.0,2,183,9.964285714285714,10.436695031215732,6.5,0,38,3.9642857142857144,0.18898223650461363,4.0,3,4
IDRiD,test,0,No DR,34,0.0005874633789062286,0.0011490398700075425,0.00033187866210935,1.1444091796875e-05,0.0067634582519531,0.0006690305822035639,0.001178768582514354,0.00041389465332030003,1.1444091796875e-05,0.0069427490234375,0.00010153826545264485,7.446296823760254e-05,9.34600830078125e-05,1.1444091796875e-05,0.0002670288085937,0.00040705063763784335,0.0011325544029660954,0.00022125244140625,0.0,0.0067176818847656,6.0249777401188974e-05,0.00014503081557926586,0.0,0.0,0.0007553100585937,0.00010019190171185295,0.000279061045633775,0.0,0.0,0.0013275146484375,0.014329349293428283,0.0002122186395523216,0.0142974853515625,0.0139846801757812,0.0151443481445312,0.003424363977768806,0.0011030710048941907,0.0032272338867186997,0.0029563903808593,0.009521484375,0.00577758340274582,0.00020007348806979865,0.00573539733886715,0.0054244995117187,0.0065879821777343,0.021979388068704045,0.0005459433518730755,0.021759033203125,0.0214080810546875,0.023681640625,3.1470588235294117,2.119639090794189,3.0,1,9,1.6176470588235294,1.8259859251731598,1.0,0,10,0.8823529411764706,1.5128681546902678,0.0,0,7,0.3235294117647059,0.6840427168698413,0.0,0,3,2.4411764705882355,0.8235612420637521,2.0,1,4
IDRiD,test,1,Mild,5,0.0005630493164062,0.0002199264782513457,0.0005455017089843,0.0003242492675781,0.0008773803710937,0.00073089599609372,0.00031124984377475573,0.0006980895996093,0.0004310607910156,0.001220703125,0.0002090454101562,0.0001242678254430273,0.000152587890625,0.0001258850097656,0.0004234313964843,0.00046081542968746004,0.00023671725743991566,0.0004806518554687,0.0001449584960937,0.0007972717285156,6.1035156249990005e-05,8.056149323249375e-05,7.62939453125e-06,0.0,0.0001602172851562,0.0,0.0,0.0,0.0,0.0,0.014334106445312461,0.00010821913590390014,0.0143051147460937,0.01422119140625,0.0144882202148437,0.0034465789794921597,0.0002381399433827729,0.0034809112548828,0.0031471252441406,0.0037899017333984,0.005825805664062459,0.0001897289453415514,0.0056953430175781,0.0056838989257812,0.006072998046875,0.0217803955078125,0.00011946764606361932,0.0217437744140625,0.0216827392578125,0.0219879150390625,6.2,2.8635642126552705,6.0,2,10,3.4,2.3021728866442674,3.0,1,7,1.8,2.16794833886788,1.0,0,5,0.0,0.0,0.0,0,0,2.6,0.5477225575051662,3.0,2,3
IDRiD,test,2,Moderate,32,0.011277914047241183,0.014555274643749406,0.00567626953124995,1.1444091796875e-05,0.0576210021972656,0.012036681175231899,0.01535726459175953,0.00592422485351555,1.1444091796875e-05,0.0595245361328125,0.0007429122924804367,0.0012095002663258718,0.0003604888916015,1.1444091796875e-05,0.0052375793457031,0.0024296045303344414,0.0049356676569898925,0.00069999694824215,0.0,0.0216255187988281,0.007317662239074672,0.012140421262562432,0.0025367736816406,0.0,0.0548210144042968,0.0015465021133422672,0.003066236368776792,0.0001506805419921625,0.0,0.0145187377929687,0.01468753814697263,0.000788747450715317,0.01450729370117185,0.0140762329101562,0.01751708984375,0.005342006683349566,0.004688449495354007,0.0037307739257811997,0.0029869079589843,0.0235595703125,0.013718724250793434,0.012554015498171082,0.00890350341796875,0.0056610107421875,0.061737060546875,0.024435997009277344,0.0037531697330242834,0.0231781005859375,0.0216217041015625,0.038970947265625,16.84375,25.024000576221017,8.5,1,115,6.65625,5.856396420347419,5.5,0,22,25.25,25.584773697675935,17.0,0,86,2.25,3.3601075251612356,1.0,0,14,3.34375,0.9019468191174737,4.0,1,4
IDRiD,test,3,Severe,19,0.014885551051089586,0.011073231871937355,0.0120162963867187,0.0001182556152343,0.0355148315429687,0.016692312140213782,0.012364175436722606,0.0126762390136718,0.0001182556152343,0.041290283203125,0.0018756264134456894,0.0016124181062316097,0.0016059875488281,2.288818359375e-05,0.0060501098632812,0.007725765830592073,0.008591382918252967,0.0035018920898437,1.1444091796875e-05,0.0310020446777343,0.005540345844469538,0.007342100303821265,0.0020599365234375,0.0,0.020843505859375,0.0015505740517063789,0.0014043091653329165,0.0017623901367187,0.0,0.0042343139648437,0.015348735608552612,0.0009937677404524678,0.0151596069335937,0.0142135620117187,0.0179443359375,0.010341744673879485,0.008113443033609925,0.0063972473144531,0.0030269622802734,0.032257080078125,0.012180328369140594,0.007955868778509996,0.0089263916015625,0.0057792663574218,0.0281829833984375,0.024700767115542765,0.0018492856300391719,0.0244903564453125,0.021728515625,0.027679443359375,45.68421052631579,40.966182030736505,37.0,2,159,21.31578947368421,16.77316849276098,22.0,1,66,29.473684210526315,28.36345148455947,18.0,0,80,3.4210526315789473,2.268523491262402,4.0,0,7,3.736842105263158,0.452413928358864,4.0,3,4
IDRiD,test,4,Proliferative DR,13,0.02385154137244588,0.028319919355627086,0.0091400146484375,0.0009613037109375,0.0830497741699218,0.025878025935246355,0.03005564204633258,0.0101852416992187,0.0010299682617187,0.0892105102539062,0.002114516038161006,0.0023745105935988873,0.0015678405761718,8.7738037109375e-05,0.0093421936035156,0.020026867206280004,0.027268376112585063,0.0060958862304687,0.0003852844238281,0.0817451477050781,0.0027049137995793023,0.006280374444548818,0.0007095336914062,2.288818359375e-05,0.0230598449707031,0.0010317288912259385,0.0011343018145845598,0.0008163452148437,0.0,0.0037422180175781,0.016216571514423062,0.0023147567404191247,0.0151748657226562,0.0143280029296875,0.0219268798828125,0.0220665564903846,0.026006114858437263,0.0088272094726562,0.0033721923828125,0.081298828125,0.008929619422325692,0.0067935004659981915,0.0066299438476562,0.0058784484863281,0.0308990478515625,0.023844792292668268,0.0014966632678797824,0.02386474609375,0.02197265625,0.0269622802734375,58.46153846153846,67.87318491694073,41.0,6,262,23.53846153846154,22.303271003059113,16.0,4,82,14.23076923076923,21.518030602860502,5.0,1,78,2.4615384615384617,1.8536173919925967,2.0,0,5,3.769230769230769,0.43852900965351455,4.0,3,4
