dataset,split,feature,num_images,spearman_corr_with_grade,pearson_corr_with_grade,mean_grade_0,mean_grade_4,grade_4_minus_grade_0
ALL,ALL,total_lesion_union_area_ratio,4178,0.766068308126518,0.5691484882947105,0.0014202989905966548,0.021471093014842617,0.020050794024245963
ALL,ALL,total_lesion_sum_area_ratio,4178,0.7701941281298701,0.580934333659061,0.0015594281343052742,0.023290650183413173,0.0217312220491079
ALL,ALL,microaneurysms_area_ratio,4178,0.7064504876482401,0.5808748426993517,0.00018084139855330147,0.001857340836725278,0.0016764994381719765
ALL,ALL,haemorrhages_area_ratio,4178,0.6800170368141578,0.4290874245172859,0.0006276095390802947,0.011792874803730051,0.011165265264649756
ALL,ALL,hard_exudates_area_ratio,4178,0.7198245051419822,0.395965411838372,0.00026737682963165824,0.006926101128928101,0.006658724299296443
ALL,ALL,soft_exudates_area_ratio,4178,0.35456177250993987,0.34193801478265207,0.000483600367039983,0.002714333414029645,0.002230733046989662
ALL,ALL,microaneurysms_prob_mean,4178,0.17492768127399808,0.0888698052909321,0.014482327058601651,0.015094725023798562,0.0006123979651969109
ALL,ALL,haemorrhages_prob_mean,4178,0.581003720972414,0.415602423158232,0.0039011524585195628,0.014229312330400883,0.01032815987188132
ALL,ALL,hard_exudates_prob_mean,4178,0.6602961374808668,0.4091295571924502,0.006145479228372049,0.013675347763617141,0.007529868535245092
ALL,ALL,soft_exudates_prob_mean,4178,0.26390965776931824,0.2774449362734654,0.02363606533663441,0.0268203350676208,0.0031842697309863895
ALL,ALL,microaneurysms_component_count,4178,0.6662337888441103,0.5850675964147254,7.192093258996452,49.05322128851541,41.86112802951896
ALL,ALL,haemorrhages_component_count,4178,0.6731719739645161,0.6023338423485094,3.382159148504815,21.991596638655462,18.609437490150647
ALL,ALL,hard_exudates_component_count,4178,0.6974199904161145,0.5026046040380343,3.98023314749113,38.76750700280112,34.78727385530999
ALL,ALL,soft_exudates_component_count,4178,0.25429574587795906,0.2869920681736336,2.739483020780537,7.7703081232493,5.0308251024687625
ALL,ALL,lesion_presence_count,4178,0.34054735177468837,0.3249990995518451,3.351748606183477,3.8823529411764706,0.5306043349929936
APTOS2019,ALL,total_lesion_union_area_ratio,3662,0.782423241191679,0.5866439010817316,0.0014182917629252166,0.020537799899860928,0.01911950813693571
APTOS2019,ALL,total_lesion_sum_area_ratio,3662,0.7854975379024852,0.5978919806519192,0.0015593193244405371,0.0222063484838453,0.020647029159404764
APTOS2019,ALL,microaneurysms_area_ratio,3662,0.7023775020439305,0.5866354110977041,0.0001857176381795155,0.0017039541470802067,0.0015182365089006912
APTOS2019,ALL,haemorrhages_area_ratio,3662,0.6735394211139091,0.4404080959120627,0.0006080416100837271,0.010647893356064583,0.010039851745980856
APTOS2019,ALL,hard_exudates_area_ratio,3662,0.746678742999076,0.41367457633295407,0.00025682951274670044,0.006943899898205741,0.00668707038545904
