experiment_group,model,split,accuracy,macro_f1,weighted_f1,qwk,notes
EfficientNet-B0 classification,weighted_sampler,APTOS test,0.825136612021858,0.649980497131891,0.8240646960811351,0.8880307830366976,efficientnet_b0_aptos_100ep_bs16_w2
EfficientNet-B0 classification,no_sampler,APTOS test,0.8360655737704918,0.6494879603656847,0.8320631105564216,0.8898621866756944,efficientnet_b0_aptos_100ep_bs16_no_sampler
EfficientNet-B0 classification,no_sampler_lowlr_smooth,APTOS test,0.8306010928961749,0.6513027319192926,0.8271101103968893,0.8707644448020166,efficientnet_b0_aptos_100ep_bs16_no_sampler_lowlr_smooth
