experiment_group,model,split,mean_dice,mean_iou,dice_microaneurysms,dice_haemorrhages,dice_hard_exudates,dice_soft_exudates,notes
U-Net segmentation,U-Net ResNet34 raw threshold 0.5,IDRiD test,0.359533176653915,0.2686147938172022,0.0078603196199293,0.4949776787500552,0.5663894710165484,0.3689052551031906,Single threshold 0.5
U-Net segmentation,U-Net ResNet34 validation-tuned thresholds,IDRiD test,0.4831049107015133,0.347990196198225,0.0712174028158187,0.5717405080795288,0.6896037459373474,0.5998579859733582,Per-lesion thresholds selected on validation subset
