epoch,train_loss,train_mean_dice,train_mean_iou,valid_loss,valid_mean_dice,valid_mean_iou,valid_dice_microaneurysms,valid_dice_haemorrhages,valid_dice_hard_exudates,valid_dice_soft_exudates,valid_iou_microaneurysms,valid_iou_haemorrhages,valid_iou_hard_exudates,valid_iou_soft_exudates,lr
1,0.867897708307613,0.011046651539138773,0.005645910723780451,0.8895411729812622,0.004541688971221447,0.002293435169849545,0.0009722544094984187,0.01083500199019909,0.003595624933950603,0.0027638744795694947,0.0004937875371979316,0.005488859338220209,0.0018055682827252894,0.0013855253346264362,9.997532801828658e-05
2,0.8061069412664934,0.010690935892687941,0.005590856855798682,0.7958247065544128,0.0037264122744090854,0.0018993991194292902,0.0007252991112181917,0.00974158116732724,0.0013431726052658632,0.0030955963768064974,0.0004298432177165523,0.004938676982419565,0.0006766472266463097,0.0015524292772170155,9.990133642141359e-05
3,0.7769188013943759,0.011286547156156634,0.0060280370578931815,0.7669090390205383,0.0025977628771215676,0.0013594727555755527,0.0011337264440953732,0.002589391255605733,0.002187312213936821,0.004480621288530528,0.0007574363611638546,0.0013261125328426714,0.0011038020602427423,0.0022505400818772616,9.977809823015401e-05
4,0.7542332329533317,0.01708292638927973,0.008895307973778637,0.7438674926757812,0.004977313114795834,0.002639787970110774,0.0008818768314085901,0.0007541598999523558,0.013719005577149801,0.0045542102059698665,0.0008818768314085901,0.0004327790244133212,0.0069523921105428595,0.002292103959189262,9.960573506572391e-05
5,0.732381132515994,0.028668050410818647,0.015527552260953764,0.7241119980812073,0.00757760921260342,0.00401650156127289,0.0009532961295917631,0.0009147320000920445,0.027263683476485313,0.001178725389399915,0.0009532961295917631,0.0005397684464696795,0.013972259126603603,0.0006006826177326729,9.93844170297569e-05
6,0.7107780277729034,0.03938935718245127,0.022020767310591924,0.7033769488334656,0.010919419233687222,0.0058204179280437526,0.0011431540013290941,0.0012542587995994837,0.039835439529269934,0.0014448248090047854,0.0011431540013290941,0.0007652539061382413,0.020629209605976938,0.0007440546098223422,9.911436253643445e-05
7,0.6909850185567682,0.05063274058259346,0.028953363526273857,0.6828370213508606,0.015817057504318655,0.008549831341952085,0.002017978311050683,0.0005358436173992231,0.055161794740706684,0.0055526129552163185,0.002017978311050683,0.00044119155791122466,0.028890559310093523,0.0028495960985310377,9.879583809693738e-05
8,0.6731995696371252,0.07064007711596787,0.04157383820380677,0.6685674905776977,0.025023049116134642,0.013803604245185851,0.0023161938646808268,0.0004767267921124585,0.09182767160236835,0.005471601922181435,0.0023161938646808268,0.0004767267921124585,0.04959094692021608,0.0028305502055445686,9.842915805643157e-05
9,0.6578130207278512,0.09108549305661158,0.05572567554190755,0.6549077510833741,0.045854209922254086,0.02635579081252217,0.002554715168662369,0.0006178697076393291,0.1730757400393486,0.007168517040554434,0.002554715168662369,0.0006178697076393291,0.09851532131433487,0.0037352542683947833,9.801468428384717e-05
10,0.6444976627826691,0.11043375163254412,0.07040053487501362,0.6429288506507873,0.06246292218565941,0.037550217285752294,0.0027134333737194537,0.0007782780536217615,0.24503978788852693,0.001320193478022702,0.0027134333737194537,0.0007782780536217615,0.1459302268922329,0.0007789305440383032,9.75528258147577e-05
